method,n_anomalies,anomaly_ratio,n_normal,normal_ratio
is_hdbscan_noise,786,0.0774155422042746,9367,0.9225844577957254
is_low_probability,800,0.07879444499162809,9353,0.9212055550083719
is_isolation_forest_anomaly,782,0.07702156997931646,9371,0.9229784300206836
is_anomaly_consensus,799,0.07869595193538856,9354,0.9213040480646114
is_anomaly_any,1181,0.11632029941889097,8972,0.883679700581109
is_anomaly_all,388,0.03821530582093963,9765,0.9617846941790604
