model,Acc@5meV,Acc@10meV,Acc@25meV,Acc@50meV
outputs\pytorch_mlp\pytorch_mlp,0.1413793103448276,0.28620689655172415,0.6665024630541871,0.8990147783251231
outputs\random_forest\random_forest,0.5822660098522168,0.7147783251231528,0.8576354679802956,0.9492610837438423
outputs\xgboost\xgboost,0.39113300492610836,0.5773399014778325,0.8157635467980295,0.9408866995073891
