cluster_kmeans,count,mean,std,min,median,max
0,3440,3.4810111166560747,0.12601093495393906,2.915978054674188,3.4742829267050883,3.678186452911284
1,4470,3.124551104615441,0.25427563003494524,2.2033297562840963,3.1419536862004476,3.607532642416949
2,2243,2.764896589234082,0.07316640210354586,2.3605906389042177,2.7593935896229644,3.107027688598042
