iter	Passed	Remaining
411	3635	5187
412	3643	5177
413	3651	5167
414	3658	5157
415	3668	5150
416	3676	5140
417	3684	5130
418	3692	5120
419	3700	5110
420	3709	5101
421	3717	5091
422	3725	5081
423	3733	5072
424	3742	5062
425	3751	5054
426	3758	5044
427	3766	5033
428	3775	5024
429	3783	5014
430	3797	5013
431	3804	5002
432	3812	4992
433	3819	4981
434	3827	4970
435	3835	4962
436	3843	4951
437	3851	4942
438	3858	4931
439	3867	4922
440	3876	4913
441	3883	4903
442	3891	4893
443	3899	4883
444	3907	4872
445	3915	4864
446	3924	4855
447	3939	4854
448	3948	4845
449	3958	4838
450	3966	4827
451	3973	4817
452	3983	4809
453	3991	4800
454	4000	4792
455	4007	4780
456	4015	4770
457	4022	4760
458	4031	4751
459	4040	4742
460	4047	4732
461	4055	4722
462	4063	4712
463	4071	4703
464	4079	4693
465	4088	4684
466	4095	4674
467	4103	4664
468	4110	4654
469	4119	4645
470	4126	4635
471	4134	4624
472	4141	4613
473	4148	4603
474	4155	4592
475	4162	4582
476	4169	4571
477	4176	4560
478	4183	4550
479	4191	4540
480	4198	4530
481	4205	4519
482	4212	4509
483	4219	4498
484	4227	4488
485	4233	4477
486	4241	4468
487	4249	4458
488	4256	4448
489	4264	4438
490	4271	4428
491	4279	4418
492	4286	4408
493	4293	4398
494	4301	4387
495	4307	4377
496	4315	4367
497	4323	4357
498	4330	4347
499	4337	4337
500	4344	4327
501	4351	4316
502	4358	4306
503	4366	4296
504	4380	4293
505	4387	4283
506	4395	4273
507	4402	4264
508	4409	4253
509	4416	4243
510	4423	4233
511	4430	4223
512	4438	4213
513	4445	4203
514	4453	4193
515	4460	4183
516	4466	4173
517	4473	4162
518	4480	4152
519	4488	4143
520	4495	4133
521	4502	4123
522	4509	4113
523	4517	4103
524	4525	4094
525	4532	4084
526	4539	4074
527	4546	4064
528	4553	4054
529	4560	4044
530	4568	4034
531	4575	4025
532	4582	4015
533	4589	4005
534	4596	3994
535	4603	3985
536	4611	3975
537	4618	3965
538	4625	3955
539	4631	3945
540	4639	3936
541	4646	3926
542	4653	3916
543	4660	3906
544	4667	3896
545	4674	3886
546	4682	3877
547	4690	3869
548	4698	3859
549	4705	3849
550	4712	3840
551	4719	3830
552	4726	3820
553	4733	3811
554	4741	3801
555	4748	3791
556	4756	3782
557	4763	3773
558	4772	3765
559	4780	3756
560	4788	3746
561	4795	3737
562	4802	3727
563	4809	3717
564	4816	3708
565	4823	3698
566	4831	3689
567	4838	3680
568	4846	3670
569	4854	3662
570	4862	3653
571	4869	3643
572	4876	3633
573	4883	3624
574	4891	3615
575	4898	3605
576	4905	3595
577	4912	3586
578	4919	3577
579	4927	3567
580	4935	3559
581	4942	3549
582	4949	3540
583	4956	3530
584	4963	3520
585	4970	3511
586	4978	3502
587	4986	3493
588	4993	3484
589	5000	3474
590	5008	3465
591	5016	3457
592	5024	3448
593	5031	3438
594	5038	3429
595	5045	3420
596	5052	3410
597	5059	3401
598	5067	3392
599	5074	3383
600	5082	3374
601	5089	3364
602	5097	3356
603	5105	3347
604	5112	3337
605	5119	3328
606	5126	3318
607	5133	3309
608	5141	3300
609	5148	3291
610	5155	3282
611	5162	3272
612	5169	3263
613	5177	3254
614	5184	3245
615	5190	3235
616	5197	3226
617	5205	3217
618	5211	3207
619	5219	3199
620	5226	3189
621	5233	3180
622	5240	3171
623	5248	3162
624	5255	3153
625	5263	3144
626	5270	3135
627	5277	3126
628	5284	3117
629	5292	3108
630	5299	3099
631	5307	3090
632	5314	3080
633	5320	3071
634	5327	3062
635	5334	3053
636	5344	3045
637	5351	3036
638	5359	3027
639	5366	3018
640	5373	3009
641	5381	3000
642	5387	2991
643	5400	2985
644	5408	2976
645	5417	2968
646	5426	2960
647	5433	2951
648	5446	2945
649	5453	2936
650	5460	2927
651	5467	2918
652	5475	2909
653	5482	2900
654	5491	2892
655	5498	2883
656	5505	2874
657	5512	2865
658	5520	2856
659	5526	2847
660	5533	2838
661	5540	2828
662	5547	2819
663	5554	2810
664	5562	2801
665	5571	2794
666	5579	2785
667	5587	2777
668	5594	2768
669	5601	2759
670	5608	2750
671	5615	2741
672	5622	2732
673	5632	2724
674	5640	2715
675	5648	2707
676	5655	2698
677	5662	2689
678	5670	2680
679	5678	2672
680	5686	2663
681	5695	2655
682	5702	2646
683	5710	2638
684	5717	2629
685	5724	2620
686	5731	2611
687	5738	2602
688	5745	2593
689	5754	2585
690	5763	2577
691	5771	2568
692	5778	2559
693	5785	2550
694	5793	2542
695	5801	2533
696	5808	2525
697	5816	2516
698	5823	2507
699	5832	2499
700	5839	2490
701	5846	2481
702	5853	2472
703	5860	2464
704	5867	2455
705	5875	2446
706	5883	2438
707	5892	2430
708	5899	2421
709	5906	2412
710	5914	2404
711	5921	2395
712	5928	2386
713	5935	2377
714	5942	2368
715	5949	2359
716	5958	2351
717	5966	2343
