Method,Silhouette,Davies-Bouldin,Calinski-Harabasz,N_Clusters
K-means,0.25413357613534715,1.496294901116876,2491.829620323705,3
GMM,0.09152391249187623,1.9730433261407767,1103.3068483208085,10
Hierarchical,0.25389739451242993,1.5060425624429232,2456.1276951951027,3
HDBSCAN,0.2837115167469545,1.4097606223911736,2840.12656000008,3
